Title,year,rating,rank_rating,Actor in order,Director in order,Budget,Gross US & Canada,Opening weekend US & Canada,Gross worldwide,Net,Budget adjusted,Gross US & Canada adjusted,Opening weekend US & Canada adjusted,Gross worldwide adjusted,Net adjusted
Batman,1989,PG-13,7.5,Michael Keaton,Tim Burton,35000000,251409241,40489746,411569241,376569241,76483468,549390016,88479891,899378365,822894897
Batman Returns,1992,PG-13,7.1,Michael Keaton,Tim Burton,80000000,162924631,45687711,266915287,186915287,154508909,314666338,88239480,515509874,361000964
Batman Forever,1995,PG-13,5.4,Val Kilmer,Joel Schumacher,100000000,184069126,52784433,336567158,236567158,177801837,327278288,93851692,598422591,420620753
Batman & Robin,1997,PG-13,3.7,George Clooney,Joel Schumacher,125000000,107353792,42872605,238235719,113235719,211035826,181243969,72381245,402210173,191174348
Batman Begins,2005,PG-13,8.2,Christian Bale,Christopher Nolan,150000000,206863479,48745440,373672993,223672993,208118280,287013809,67632114,518454536,310336257
The Dark Knight,2008,PG-13,9,Christian Bale,Christopher Nolan,185000000,534987076,158411483,1006102277,821102277,232832102,673309002,199369073,1266231934,1033399832
The Dark Knight Rises,2012,PG-13,8.4,Christian Bale,Christopher Nolan,250000000,448149584,160887295,1081153097,831153097,295053442,528912309,189881401,1275991771,980938329
Batman v Superman: Dawn of Justice,2016,PG-13,6.4,Ben Affleck,Zack Snyder,250000000,330360194,166007347,873637528,623637528,282252184,372979545,187423745,986344402,704092218
Justice League,2017,PG-13,6.1,Ben Affleck,Zack Snyder,300000000,229024295,93842239,657926987,357926987,331637565,253176865,103738706,727311014,395673448
The Batman,2022,PG-13,7.9,Robert Pattinson,Matt Reeves,200000000,369345583,134008624,770836163,570836163,200000000,369345583,134008624,770836163,570836163